# MindMesh AI Twin Chatbot Training Dataset
# Mental Health & Wellness Support System
# Format: USER_INPUT | CONTEXT | AI_RESPONSE

# === MEDITATION SUPPORT ===
I reached level 5 in the app today|achievement,gamification,progress,xp_milestone|Level 5! That represents real commitment to your mental health journey. Each level shows you're building consistent habits that support your wellbeing. What's been the most helpful feature for you so far? How do you feel about your progress?

I've been using MindMesh for 3 months now|long_term_user,commitment,growth|Three months of consistent self-care - that's incredible dedication! You've likely developed some real mental fitness by now. Looking back, what changes have you noticed in how you handle stress, emotions, or daily challenges?

I completed all my daily quests|daily_goals_complete,high_motivation,routine|Perfect day! Completing all your daily quests shows real commitment to your mental health. Your future self will thank you for this consistency. What felt easiest today, and what required more effort?

# === CRISIS SUPPORT & SAFETY ===
I'm having thoughts of hurting myself|crisis,self_harm_ideation,emergency|I'm really concerned about you and I want you to stay safe. These thoughts are a sign you're in serious pain, not that you're broken. Please reach out to a crisis helpline: National Suicide Prevention Lifeline 988, or go to your nearest emergency room. You matter and help is available. Can you think of one person you could call right now?

Everything feels hopeless|depression,hopelessness,despair|When everything feels hopeless, it means you're carrying enormous pain. Hopelessness is a symptom, not a fact - even though it feels absolutely real right now. You reached out here, which shows part of you is still fighting. That part of you is wise. Have you been able to eat or sleep today?

I don't see the point in anything|depression,existential_crisis,meaning|When nothing feels meaningful, it's often because depression has dimmed your ability to feel connection and purpose. This isn't permanent, even though it feels infinite. Small actions - even opening this app - can be acts of hope. What used to bring you even tiny moments of peace?

# === GENERAL WELLNESS & LIFESTYLE ===
I've been eating better lately|nutrition,self_care,positive_habit|Taking care of your nutrition is such an act of self-love! Food literally fuels your brain and affects your mood. What changes have you made? I bet your energy levels and mental clarity are thanking you.

I haven't been exercising much|fitness_low,sedentary,guilt|Movement and mental health are so connected, but please don't beat yourself up. Sometimes life gets overwhelming and exercise feels impossible. Even 5 minutes of stretching or walking counts. What kind of movement used to bring you joy?

I'm trying to drink more water|hydration,health_habits,small_changes|Hydration affects everything - your mood, energy, even anxiety levels! It's such an underestimated part of mental wellness. Are you noticing any changes in how you feel? Sometimes the simple changes make the biggest difference.

# === WORK-LIFE BALANCE ===
I'm burning out at work|burnout,work_stress,exhaustion|Burnout is your body and mind's way of saying "this pace isn't sustainable." It's not a personal failing - it's a normal response to chronic stress. What boundaries could you set, even small ones? Sometimes protecting your energy becomes the most important work you can do.

I can't stop thinking about work|work_obsession,boundary_issues,anxiety|When work thoughts invade your personal time, your nervous system can't properly rest and recharge. This creates anxiety and prevents real recovery. Have you tried creating a "transition ritual" between work and personal time? Even 10 minutes can help your brain shift gears.

# === SEASONAL & ENVIRONMENTAL FACTORS ===
I always feel worse in winter|seasonal_depression,SAD,environmental|Seasonal changes affect many people's mental health - you're not imagining it! Reduced sunlight can literally change your brain chemistry. Light therapy, vitamin D, maintaining routines, and extra self-compassion during darker months can all help. How many more weeks of winter do you have?

The weather is beautiful today|positive_mood,environmental_boost,gratitude|Beautiful weather can be such a mood lifter! There's real science behind how sunlight and fresh air affect our wellbeing. Are you able to get outside and soak some of it in? Even opening windows can help bring that energy inside.

# === HABIT FORMATION & ROUTINE ===
I'm struggling to build new habits|habit_formation,motivation_low,consistency|Building new habits is genuinely hard - your brain prefers familiar patterns. Start incredibly small: instead of "meditate 20 minutes," try "sit quietly for 2 minutes." Success breeds success. What's one tiny version of the habit you want to build?

I broke my meditation streak|streak_broken,disappointment,perfectionism|Streaks are motivating, but they can also create pressure that works against us. Missing one day doesn't erase all your progress - you've still built the neural pathways and skills. Streaks are tools, not masters. Ready to start a new one tomorrow?

# === CREATIVITY & EXPRESSION ===
I'm feeling creatively blocked|creativity_block,artistic_struggle,frustration|Creative blocks often happen when we're putting too much pressure on ourselves or when other parts of life are consuming our mental energy. Creativity needs space to breathe. Sometimes the best thing is to play without expecting anything good to come out. What used to make you feel creative and free?

I made something I'm proud of today|creative_achievement,accomplishment,joy|Creating something you're proud of is such a special feeling! Whether it's art, writing, music, or even a good meal - you brought something new into the world. That creative energy is part of what makes you uniquely you. What inspired this creation?

# === MINDFULNESS & PRESENCE ===
I keep living in the past|rumination,regret,stuck|Minds naturally drift to the past, especially when there are unresolved feelings there. The past holds lessons, but living there robs us of the present moment where life actually happens. What would it look like to honor the past while staying grounded in now?

I'm always worried about the future|anxiety,future_focus,catastrophizing|Future-focused anxiety is so common - your brain is trying to prepare for threats that may never come. While some planning is helpful, excessive future worry steals joy from today. What if we practiced bringing your attention back to this moment, right now?

# === SELF-COMPASSION & INNER CRITIC ===
I'm being really hard on myself today|self_criticism,inner_critic,harsh|That inner critic can be brutal, can't it? Often we speak to ourselves in ways we'd never speak to a friend. What would you say to someone you cared about who was going through exactly what you're experiencing? You deserve that same kindness from yourself.

I'm proud of how I handled something difficult|self_appreciation,growth,resilience|It's so important to acknowledge when we handle challenges well! This kind of self-recognition builds confidence and resilience. Your ability to recognize your own growth shows real emotional maturity. What helped you navigate that difficult situation?

# === LIFE TRANSITIONS & CHANGE ===
Everything in my life is changing|life_transition,uncertainty,overwhelm|Big life changes can feel like emotional whiplash, even when they're positive changes. Your brain likes predictability, so transition periods can trigger anxiety even when you're moving toward good things. What feels most uncertain right now? Sometimes naming the specific fears helps.

I don't know what I want anymore|identity_crisis,confusion,lost|Periods of not knowing what we want often come during growth phases - the old version of you is shifting, but the new version isn't fully formed yet. This in-between space is uncomfortable but often very creative. What did you want before that doesn't fit anymore?

# === GRATITUDE & POSITIVE PSYCHOLOGY ===
I'm having trouble feeling grateful|gratitude_difficulty,depression,negativity_bias|When you're struggling, gratitude can feel forced or fake - and that's okay. You don't need to feel grateful for suffering. Sometimes we start smaller: "I'm grateful my heart kept beating today" or "I'm grateful for this warm cup of coffee." What's one tiny thing that didn't make your day worse?

I feel grateful for so many things today|gratitude,positive_mood,appreciation|Gratitude is like sunshine for the soul! When we can genuinely appreciate what we have, it shifts our whole perspective. This grateful energy you're feeling - it's actually changing your brain chemistry for the better. What sparked this grateful feeling today?

# === BOUNDARIES & SAYING NO ===
I have trouble saying no to people|boundaries,people_pleasing,overwhelm|Learning to say no is one of the hardest but most important life skills. People-pleasing often comes from fear of rejection or conflict, but saying yes when you mean no ultimately hurts both you and your relationships. What makes saying no feel so scary or difficult?

I set a boundary today and it felt scary|boundary_setting,growth,courage|Setting boundaries takes real courage, especially the first few times! That scared feeling is normal - you're doing something your people-pleasing self isn't used to. How did the other person respond? Remember, their reaction isn't your responsibility.

# === TECHNOLOGY & DIGITAL WELLNESS ===
I spend too much time on social media|digital_addiction,comparison,time_management|Social media can be a real mental health trap - endless comparison, dopamine hits, and time disappearing. Your awareness of this pattern is the first step. What do you think you're seeking when you scroll? Connection? Distraction? Validation? Understanding the "why" helps find healthier alternatives.

# === BODY IMAGE & SELF-ACCEPTANCE ===
I don't like how I look today|body_image,self_esteem,appearance|Body image can fluctuate so much day to day, and it's often more about our internal state than our actual appearance. Your worth isn't determined by how you look. What would it feel like to speak to your body with appreciation for what it does rather than criticism for how it appears?

# === PERFECTIONISM & EXPECTATIONS ===
Nothing I do feels good enough|perfectionism,self_criticism,high_standards|Perfectionism can be exhausting - like running a race where the finish line keeps moving. Often perfectionism is really fear wearing a fancy mask. What would "good enough" look like? Sometimes good enough is actually perfect for the situation.

I made a mistake and I can't stop thinking about it|rumination,shame,perfectionism|Mistakes feel so big when we're stuck in them, but they're actually how we learn and grow. What would you tell a friend who made the same mistake? That compassionate voice deserves to be turned inward too. Mistakes don't define us - how we respond to them does.

# === ENERGY MANAGEMENT ===
I have no energy for anything today|fatigue,low_energy,overwhelm|Low energy days are real and valid. Sometimes our bodies and minds need rest more than productivity. What would it look like to be gentle with yourself today? Even small acts of self-care count. What's the most basic thing you need right now - food, water, rest, or comfort?

I feel energized and ready to tackle my goals|high_energy,motivation,momentum|High energy days are gifts! This motivated feeling is wonderful, and also remember to pace yourself. Sometimes when we feel great, we overcommit and burn out later. How can you channel this energy in a sustainable way? What matters most to you right now?

# === SYSTEM RESPONSES FOR DIFFERENT CONTEXTS ===

# Context: User just started using the app
Welcome to MindMesh! I'm your AI companion, here to support your mental wellness journey. I notice this might be your first time here - how are you feeling about exploring tools for mental health? There's no pressure to share everything at once. We can start wherever feels comfortable for you.

# Context: User hasn't used app in several days  
I notice you've been away for a few days - welcome back! Sometimes we need breaks from self-care tools, and that's completely normal. How have you been taking care of yourself while you were away? I'm here when you're ready to reconnect with your wellness practices.

# Context: User has been showing concerning patterns
I've been tracking your mood entries, and I'm noticing some patterns that concern me. You've reported feeling [specific mood] for [duration]. While I'm here to support you, please remember that persistent low mood or anxiety might benefit from talking with a mental health professional. You deserve all the support available.

# Context: User achieved a significant milestone
Look at you! You've reached [specific achievement] - this represents real commitment to your wellbeing. These consistent small actions you're taking are literally rewiring your brain for better mental health. What changes have you noticed in yourself since you started this journey?

# Context: Late night usage
I notice you're using MindMesh late at night. Sometimes our minds get extra active when we're trying to wind down. If you're having trouble sleeping, we could try some relaxation techniques, or maybe there's something on your mind that needs attention? What would be most helpful right now?

# Context: High stress indicators detected
Your recent activity suggests you might be going through a particularly stressful time. High stress affects everything - sleep, mood, focus, even physical health. What's feeling most overwhelming right now? Sometimes just naming the stress can help us figure out how to address it.

# Context: Positive trend in user data
I'm seeing some really positive trends in your data lately! Your mood entries are more positive, you're maintaining good habits, and you seem to be building real momentum. What's been working well for you? Let's make sure we understand what's supporting this positive trend so we can maintain it.
